Gender;Age;Subject;Social Class
1;;;
;;;2
;;;2
;4;39;
;4;13;
;;9;
2;;38;
;;;
;;11;
;;9;
;;41;
;;9;
;;47;
;;;2
1;;6;
;;;
1;;1;
1;;;
;;;
1;;1;
;4;5;
;;;
;;17;
;2;;
;;17;
;;;
1;;;
;;;
;;1;
;;;
;4;29;1
1
;;;
;4;55;
1;;1;
;4;;
1;;54;
;;;1
;;;
;;54;
;;;2
;;4;
;2;;
;;;
;4;13;
;;;
1;;1;
;;;
1;3;1;
;;;
1;;1;
;;41;
;;;
;4;5;1
;;;1
;;;
1;4;46;
;;17;
;;;2
;;;2
;;5;
1
;;36;
;;;
2;2;;
;;;
;4;;
;5;1;
1;2;;
;4;;
;;;
2;4;39;
;;38;
;;;
;4;5;
;;;
1;4;15;
;;42;
;;;
2;4;11;
;;;
;;9;
2;4;5;
;;;
;;17;
1;4;;
;;;
;1;42;
1;;1;
;;;
;;9;
;4;13;
;;;
;4;;
1;;;
;;;
1;;41;
;;5;
;;9;
;4;13;
;;;
;4;12;
;;;
1;4;5;
;;;1
2;4;13;
1
1;;1;
1
;;;
;;36;
1;;;
;;;
;4;;
;;;2
;;;
;2;5;
;;;
2;;;
;;;
;;5;
;;;
;;5;
;;;
1;3;1;
;;;1
;;;
1;;;
;;18;
;;;1
;;54;
;;;
1;;55;
;;41;36
1;2;41;
1;;41;
;;55;
;;9;
;;;
1;;41;
;;;
1;;;
;;;
;;5;
;;;
;2;;
;1;42;
2;2;38;
;;;
1;3;16;
;;;
1;1;42;
;4;;
;;43;
;2;9;
1;1;;
1;4;16;
2;4;38;
;4;4;35
;;;
1;2;41;
1;5;18;
;;6;
;3;;
;;;
;;45;1
2
;;;
1;;1;
;;36;
;;41;
;3;37;
1;;1;
;;9;
;4;;
;;;
1;4;;
;;;
;4;29;
;;;
;4;11;
;;;
1;4;;
;;;
;;9;
;2;35;
;;36;
;;41;
;;17;
1
;;;
;4;13;
;;4;
;;46;
;5;;
;3;;
;2;2;
;;42;
;1;41;
2;4;;
;;;
1;;55;
;4;13;
;;;
1;;1;
;;33;
1;3;16;
;;;1
;2;;
;;;
;;17;
;;;
1;;9;
1;;9;
;3;;1
;;4;
;1;42;
;2;;
;;9;
;2;37;
;5;;
;;12;
;;18;
;;51;
;4;5;1
;;;
1;1;41;
;;16;
1;4;;
;;;
1;;13;
;;5;
;;;
;4;13;
;;;2
;;;
2;;;
;;;
1;2;8;
;;35;
;;1;
;;;
;;14;
;;;
;;51;
;;;
;;9;
;2;;
1;;1;
;4;1;
;;;
1;;;
1;;1;
;1;;
;;46;
;2;5;
1;;1;
;;;
;2;37;
;;;
1;;23;
;;;
1;2;24;
;;36;
;;;
;3;53;
;4;;
;;9;
;;;
;4;38;
;;13;
;;;
;;15;53
;;;
;5;46;
2
2
1;4;;
;;;1
;;;2
;;2;
;;;
;4;48;
;;9;
;;9;
;;46;
1
;;;
2;4;1;
;;;
;4;5;
;;;
1;1;2;
2;4;;
;;9;
;;;1
;;;1
1;;;
1;;1;
;;2;
2;4;3;
;;;
;;9;
;4;13;
;;6;1
1;;;1
;;47;
;;16;
;;53;
;;;
1;;37;
;;;2
;;;
;;55;
;;;
2;;;
;4;5;
2;;38;
;;;
;4;13;
;;;2
;2;;
;;38;
;;;
;4;11;
;;;
;;2;
;;;
1;;;
;;;
;3;14;
;2;2;
;2;41;
;;;
1;;1;
;5;;
;;;
;;1;
;;;
;2;;
;;4;
;;51;
1;2;16;
;;;
;;38;
1;;1;
;4;13;
;;2;
;;;
;;9;
;4;24;
;;17;
;4;4;
;2;;
;;53;
;;;
;;2;
;;;
;;16;
1;;42;
;;;
;;47;1
;2;;
;;9;
;4;4;
1;;54;
;3;;
;;;
;5;45;
;;;
1;4;4;
;;9;
2;4;39;
1;;1;
;;4;
;5;;
;;6;
;;;
2;4;38;
2
;;;
;;55;1
2;;13;
;;1;
;;41;
;;;
1;;;
;;;
1;;1;
;2;41;
;4;;
;;;1
1;;1;
;;24;
;4;38;
1;2;;
;2;41;
;;1;
;;;2
1;;;
;2;41;
;;;
;;13;
;;13;
1;;1;
;;;
;;48;1
;;;
;3;5;
;;;
;5;;
;;55;
1;3;16;
1;2;;
;;46;
;;32;
;;;
;;9;
;;;
;;14;
;;;
2;;;
;;;
;;41;
;;;
;;2;
;3;15;
;;;
2;4;5;
;2;;1
;;;
1;;;
;;13;
1;;16;
;;51;
;;;
2;3;;
;;;1
